ID,rodata,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
1,1.0,Guarani,Vasco,Guarani,4,2
2,1.0,Athletico-PR,Gremio,Athletico-PR,2,0
3,1.0,Flamengo,Coritiba,-,1,1
4,1.0,Goias,Paysandu,-,2,2
5,1.0,Internacional,Ponte Preta,-,1,1
6,1.0,Criciuma,Fluminense,Criciuma,2,0
7,1.0,Juventude,Sao Paulo,-,2,2
8,1.0,Fortaleza,Bahia,-,0,0
9,1.0,Cruzeiro,Sao Caetano,-,2,2
10,1.0,Vitoria,Figueirense,-,1,1
11,1.0,Santos,Parana,-,2,2
12,1.0,Corinthians,Atletico-MG,Atletico-MG,0,3
13,2.0,Fluminense,Fortaleza,-,1,1
14,2.0,Atletico-MG,Santos,-,0,0
15,2.0,Coritiba,Internacional,Internacional,0,1
16,2.0,Gremio,Guarani,Gremio,3,1
17,2.0,Bahia,Flamengo,Flamengo,1,2
18,2.0,Figueirense,Corinthians,-,3,3
19,2.0,Paysandu,Vitoria,Vitoria,1,2
20,2.0,Ponte Preta,Juventude,Ponte Preta,1,0
21,2.0,Parana,Athletico-PR,Parana,3,0
22,2.0,Sao Caetano,Criciuma,Sao Caetano,3,2
23,2.0,Sao Paulo,Cruzeiro,Cruzeiro,2,4
24,2.0,Vasco,Goias,Vasco,6,4
25,4.0,Paysandu,Santos,Paysandu,2,1
37,3.0,Internacional,Bahia,Internacional,2,0
38,3.0,Santos,Figueirense,Santos,2,0
39,3.0,Athletico-PR,Atletico-MG,Atletico-MG,1,2
40,3.0,Corinthians,Paysandu,Corinthians,6,1
41,3.0,Vitoria,Vasco,Vitoria,2,1
42,3.0,Criciuma,Sao Paulo,-,1,1
43,3.0,Fortaleza,Sao Caetano,-,1,1
44,3.0,Juventude,Coritiba,Juventude,2,1
45,3.0,Guarani,Parana,Guarani,2,0
46,3.0,Goias,Gremio,-,1,1
47,3.0,Cruzeiro,Ponte Preta,Cruzeiro,3,0
48,3.0,Flamengo,Fluminense,Flamengo,4,1
26,4.0,Bahia,Juventude,Bahia,3,1
27,4.0,Gremio,Vitoria,Gremio,2,1
28,4.0,Atletico-MG,Guarani,Atletico-MG,3,2
29,4.0,Figueirense,Athletico-PR,-,1,1
30,4.0,Ponte Preta,Criciuma,-,1,1
31,4.0,Sao Caetano,Flamengo,-,1,1
32,4.0,Vasco,Corinthians,-,2,2
33,4.0,Coritiba,Cruzeiro,Cruzeiro,3,4
34,4.0,Fluminense,Internacional,Fluminense,3,1
35,4.0,Sao Paulo,Fortaleza,Sao Paulo,3,1
36,4.0,Parana,Goias,Parana,3,1
144,12.0,Flamengo,Cruzeiro,Flamengo,3,0
49,5.0,Bahia,Atletico-MG,Atletico-MG,2,4
50,5.0,Sao Caetano,Gremio,-,1,1
51,5.0,Flamengo,Santos,Santos,0,2
52,5.0,Sao Paulo,Vasco,Sao Paulo,3,1
53,5.0,Internacional,Corinthians,Internacional,2,1
54,5.0,Criciuma,Guarani,Criciuma,1,0
55,5.0,Juventude,Vitoria,-,1,1
56,5.0,Fortaleza,Athletico-PR,Fortaleza,1,0
57,5.0,Ponte Preta,Paysandu,-,4,4
58,5.0,Cruzeiro,Goias,Cruzeiro,4,1
59,5.0,Fluminense,Parana,-,0,0
60,5.0,Coritiba,Figueirense,Coritiba,1,0
61,6.0,Atletico-MG,Coritiba,Coritiba,1,2
62,6.0,Parana,Bahia,Parana,3,1
63,6.0,Vitoria,Internacional,Internacional,0,3
64,6.0,Guarani,Cruzeiro,-,1,1
65,6.0,Corinthians,Flamengo,-,1,1
66,6.0,Goias,Juventude,Goias,7,0
67,6.0,Figueirense,Ponte Preta,-,0,0
68,6.0,Santos,Fortaleza,Santos,4,0
69,6.0,Gremio,Fluminense,Fluminense,0,1
70,6.0,Athletico-PR,Criciuma,Athletico-PR,4,2
71,6.0,Paysandu,Sao Paulo,Paysandu,5,2
72,6.0,Vasco,Sao Caetano,Vasco,1,0
73,7.0,Flamengo,Vitoria,Flamengo,2,1
74,7.0,Bahia,Gremio,Bahia,2,1
75,7.0,Cruzeiro,Athletico-PR,Cruzeiro,5,2
76,7.0,Fortaleza,Corinthians,Corinthians,1,2
77,7.0,Sao Paulo,Figueirense,Sao Paulo,3,2
78,7.0,Sao Caetano,Paysandu,Sao Caetano,2,0
79,7.0,Internacional,Goias,Internacional,2,1
80,7.0,Ponte Preta,Atletico-MG,Ponte Preta,2,1
81,7.0,Juventude,Guarani,-,1,1
82,7.0,Coritiba,Parana,Coritiba,2,1
83,7.0,Criciuma,Santos,Santos,1,3
84,7.0,Fluminense,Vasco,-,0,0
85,8.0,Goias,Flamengo,-,1,1
86,8.0,Santos,Cruzeiro,Cruzeiro,0,2
87,8.0,Parana,Ponte Preta,Parana,3,2
88,8.0,Corinthians,Criciuma,Corinthians,3,0
89,8.0,Vasco,Bahia,-,1,1
90,8.0,Paysandu,Fluminense,-,2,2
91,8.0,Atletico-MG,Sao Paulo,-,2,2
92,8.0,Vitoria,Fortaleza,Vitoria,2,1
93,8.0,Guarani,Internacional,Guarani,3,0
94,8.0,Athletico-PR,Juventude,Athletico-PR,2,0
95,8.0,Figueirense,Sao Caetano,Figueirense,3,0
96,8.0,Gremio,Coritiba,Gremio,1,0
97,9.0,Fluminense,Figueirense,Fluminense,3,0
98,9.0,Sao Caetano,Atletico-MG,Sao Caetano,2,0
99,9.0,Juventude,Santos,-,1,1
100,9.0,Bahia,Paysandu,Bahia,2,0
101,9.0,Internacional,Athletico-PR,-,1,1
102,9.0,Coritiba,Vasco,-,1,1
103,9.0,Cruzeiro,Corinthians,-,1,1
104,9.0,Fortaleza,Goias,Fortaleza,1,0
105,9.0,Ponte Preta,Gremio,Ponte Preta,2,1
106,9.0,Criciuma,Vitoria,-,1,1
107,9.0,Flamengo,Guarani,-,1,1
108,9.0,Sao Paulo,Parana,Sao Paulo,2,0
109,10.0,Atletico-MG,Fluminense,Atletico-MG,3,0
110,10.0,Parana,Sao Caetano,-,1,1
111,10.0,Corinthians,Juventude,Corinthians,3,0
112,10.0,Vasco,Ponte Preta,Vasco,1,0
113,10.0,Athletico-PR,Flamengo,Athletico-PR,4,1
114,10.0,Paysandu,Coritiba,Coritiba,1,3
115,10.0,Goias,Criciuma,Criciuma,0,2
116,10.0,Gremio,Sao Paulo,Sao Paulo,1,2
117,10.0,Guarani,Fortaleza,Guarani,2,1
118,10.0,Figueirense,Bahia,Figueirense,1,0
119,10.0,Vitoria,Cruzeiro,Vitoria,2,1
120,10.0,Santos,Internacional,Santos,2,1
121,11.0,Fluminense,Athletico-PR,Fluminense,2,1
122,11.0,Cruzeiro,Criciuma,Cruzeiro,2,0
123,11.0,Coritiba,Guarani,Coritiba,3,2
124,11.0,Ponte Preta,Sao Caetano,-,0,0
125,11.0,Internacional,Paysandu,Internacional,2,1
126,11.0,Parana,Flamengo,Parana,6,2
127,11.0,Bahia,Goias,Bahia,2,1
128,11.0,Fortaleza,Juventude,Fortaleza,3,1
129,11.0,Figueirense,Gremio,Figueirense,2,1
130,11.0,Santos,Sao Paulo,Santos,3,2
